rt	stimulus	response	trial_type	trial_index	time_elapsed	internal_node_id	slider_start	accuracy	participant_id	ctime
5925	<h3>Instructions</h3>  <p style='text-align:left'>In this experiment, you will read conversations between two people, as in this example, where Candy asks a question, and Lenny responds:</p>  <p style='text-align:left'> <b>Candy</b>: <i>What about the house? Is it big? </i> <br> <b>Lenny</b>: <i> Cassandra suggested that it's huge. </i> </p>  <p style='text-align:left'>We ask you to rate how natural Lenny's answer to Candy's question is. You will give your response on a slider from 'totally unnatural' to 'totally natural'.</p>  <p style='text-align:left'>At the end of the experiment, we will ask you some optional demographic questions (age, gender, native language). The experiment will take about two minutes.</p>  <p style='text-align:left' font size=""1"">By clicking on the button below you agree to participate in this experiment, which is conducted by researchers at the University of Stuttgart. You may withdraw from this experiment at any time without penalty. The data collected will be anonymous and confidential. If you have any questions, you may contact the requester through Prolific's platform, or directly at st180735@stud.uni-stuttgart.de.</p>	0	html-button-response	0	5941	0.0-0.0	NA	NA	8136b6db-8f3e-4e4e-9c82-23226acd6e11	2023-08-15 14:12:28 CEST
12380	<b>Isabel:</b><em> What about Patrick? Why is he angry?</em><br> <b>Grace:</b><em> He discovered that Sophia got a tattoo.</em> <br> <br> <br> How natural is Grace's answer to Isabel's question?	20	html-slider-response	1	18327	0.0-1.0-0.0	50	NA	8136b6db-8f3e-4e4e-9c82-23226acd6e11	2023-08-15 14:12:28 CEST
11388	<b>Chole:</b><em> What about Jessica? Why is she upset?</em><br> <b>Steven:</b><em> She confessed that Tony had a drink last night.</em> <br> <br> <br> How natural is Steven's answer to Chole's question?	41	html-slider-response	2	29717	0.0-1.0-0.1	50	NA	8136b6db-8f3e-4e4e-9c82-23226acd6e11	2023-08-15 14:12:28 CEST
9066	<b>Mary:</b><em> Do these muffins have blueberries in them?</em><br> <b>John:</b><em> Linda claimed that she likes drinking coffee.</em> <br> <br> <br>How natural is John's answer to Mary's question?	0	html-slider-response	3	38785	0.0-1.0-0.2	50	NA	8136b6db-8f3e-4e4e-9c82-23226acd6e11	2023-08-15 14:12:28 CEST
7808	<b>Jennifer:</b><em> What about Ann? Where did she go?</em><br> <b>Robert:</b><em> Ann, who loves travelling, went to London.</em> <br> <br> <br>How natural is Robert's answer to Jennifer's question?	22	html-slider-response	4	46594	0.0-1.0-0.3	50	NA	8136b6db-8f3e-4e4e-9c82-23226acd6e11	2023-08-15 14:12:28 CEST
11605	<b>Frank:</b><em> What about Jackson? What did he do?</em><br> <b>Charlotte:</b><em> Patricia knows that he ran 10 miles.</em> <br> <br> <br> How natural is Charlotte's answer to Frank's question?	25	html-slider-response	5	58201	0.0-1.0-0.4	50	NA	8136b6db-8f3e-4e4e-9c82-23226acd6e11	2023-08-15 14:12:28 CEST
11091	<b>Michael:</b><em> What about Samantha? What did she buy? </em><br> <b>Elizabeth:</b><em> Samantha, who is really into fashion, bought a new hat.</em> <br> <br> <br>How natural is Elizabeth's answer to Michael's question?	59	html-slider-response	6	69294	0.0-1.0-0.5	50	NA	8136b6db-8f3e-4e4e-9c82-23226acd6e11	2023-08-15 14:12:28 CEST
7465	<b>Leo:</b><em> What about Emma? What did she do?</em><br> <b>Alice:</b><em> James is right that she studied on Saturday morning.</em> <br> <br> <br> How natural is Alice's answer to Leo's question?	0	html-slider-response	7	76761	0.0-1.0-0.6	50	NA	8136b6db-8f3e-4e4e-9c82-23226acd6e11	2023-08-15 14:12:28 CEST
21712	<b>Ken:</b><em> What about Linda? Why is she pouting?</em><br> <b>Jack:</b><em> She said that Danny ate the last cupcake.</em> <br> <br> <br> How natural is Jack's answer to Ken's question?	78	html-slider-response	8	98476	0.0-1.0-0.7	50	NA	8136b6db-8f3e-4e4e-9c82-23226acd6e11	2023-08-15 14:12:28 CEST
12339	<b>Oliver:</b><em> What about Mia? What did she do?</em><br> <b>Daniel:</b><em> David thinks that she drank two cocktails last night.</em> <br> <br> <br> How natural is Daniel's answer to Oliver's question?	85	html-slider-response	9	110817	0.0-1.0-0.8	50	NA	8136b6db-8f3e-4e4e-9c82-23226acd6e11	2023-08-15 14:12:28 CEST
