response,participantID,age,gender,language,amE,comments,expression,cc
0.88,22,46,male,English,AmE,""":""""}",confess,saw the murder
0,22,46,male,English,AmE,""":""""}",NAI MC,control
1,22,46,male,English,AmE,""":""""}",AI MC,control
0.09,22,46,male,English,AmE,""":""""}",medial NRRC,broke the plate
0.95,22,46,male,English,AmE,""":""""}",discover,ate the last cupcake
0.8,22,46,male,English,AmE,""":""""}",be right,cheated on his wife
0.37,22,46,male,English,AmE,""":""""}",know,lost his key
0.5,22,46,male,English,AmE,""":""""}",confirm,stole the money
0.16,22,46,male,English,AmE,""":""""}",final NRRC,bought a new car
1,73,22,preferNoToSay,English,AmE,""":""""}",confirm,bought a new car
1,73,22,preferNoToSay,English,AmE,""":""""}",discover,saw the murder
0,73,22,preferNoToSay,English,AmE,""":""""}",NAI MC,control
0,73,22,preferNoToSay,English,AmE,""":""""}",medial NRRC,stole the money
0,73,22,preferNoToSay,English,AmE,""":""""}",final NRRC,lost his key
0,73,22,preferNoToSay,English,AmE,""":""""}",confess,broke the plate
1,73,22,preferNoToSay,English,AmE,""":""""}",AI MC,control
1,73,22,preferNoToSay,English,AmE,""":""""}",be right,cheated on his wife
0,73,22,preferNoToSay,English,AmE,""":""""}",know,ate the last cupcake
0,66,38,female,English,AmE,""":""None""}",medial NRRC,saw the murder
1,66,38,female,English,AmE,""":""None""}",AI MC,control
0,66,38,female,English,AmE,""":""None""}",know,stole the money
1,66,38,female,English,AmE,""":""None""}",confirm,broke the plate
0,66,38,female,English,AmE,""":""None""}",NAI MC,control
1,66,38,female,English,AmE,""":""None""}",be right,bought a new car
0,66,38,female,English,AmE,""":""None""}",discover,lost his key
0.28,66,38,female,English,AmE,""":""None""}",confess,ate the last cupcake
0,66,38,female,English,AmE,""":""None""}",final NRRC,cheated on his wife
0,1,41,female,English,AmE,""":""N/A""}",confirm,lost his key
1,1,41,female,English,AmE,""":""N/A""}",be right,cheated on his wife
0,1,41,female,English,AmE,""":""N/A""}",NAI MC,control
0,1,41,female,English,AmE,""":""N/A""}",know,bought a new car
0,1,41,female,English,AmE,""":""N/A""}",medial NRRC,saw the murder
0,1,41,female,English,AmE,""":""N/A""}",confess,ate the last cupcake
0,1,41,female,English,AmE,""":""N/A""}",final NRRC,stole the money
1,1,41,female,English,AmE,""":""N/A""}",AI MC,control
0,1,41,female,English,AmE,""":""N/A""}",discover,broke the plate
1,55,34,male,English,AmE,""":""""}",confess,stole the money
0,55,34,male,English,AmE,""":""""}",final NRRC,bought a new car
1,55,34,male,English,AmE,""":""""}",confirm,cheated on his wife
0.5,55,34,male,English,AmE,""":""""}",be right,lost his key
0,55,34,male,English,AmE,""":""""}",medial NRRC,broke the plate
0.49,55,34,male,English,AmE,""":""""}",know,ate the last cupcake
0,55,34,male,English,AmE,""":""""}",NAI MC,control
1,55,34,male,English,AmE,""":""""}",AI MC,control
0.51,55,34,male,English,AmE,""":""""}",discover,saw the murder
1,68,36,female,English,AmE,""":""This was an interesting study.""}",be right,saw the murder
1,68,36,female,English,AmE,""":""This was an interesting study.""}",AI MC,control
0,68,36,female,English,AmE,""":""This was an interesting study.""}",final NRRC,ate the last cupcake
0,68,36,female,English,AmE,""":""This was an interesting study.""}",confess,lost his key
0,68,36,female,English,AmE,""":""This was an interesting study.""}",medial NRRC,broke the plate
0.67,68,36,female,English,AmE,""":""This was an interesting study.""}",confirm,stole the money
0,68,36,female,English,AmE,""":""This was an interesting study.""}",know,cheated on his wife
0,68,36,female,English,AmE,""":""This was an interesting study.""}",NAI MC,control
0,68,36,female,English,AmE,""":""This was an interesting study.""}",discover,bought a new car
0,49,55,female,English,AmE,""":""""}",discover,bought a new car
0,49,55,female,English,AmE,""":""""}",final NRRC,cheated on his wife
0,49,55,female,English,AmE,""":""""}",NAI MC,control
1,49,55,female,English,AmE,""":""""}",AI MC,control
0.32,49,55,female,English,AmE,""":""""}",confirm,stole the money
1,49,55,female,English,AmE,""":""""}",be right,lost his key
0,49,55,female,English,AmE,""":""""}",medial NRRC,ate the last cupcake
0,49,55,female,English,AmE,""":""""}",confess,broke the plate
0,49,55,female,English,AmE,""":""""}",know,saw the murder
1,47,32,female,English,AmE,""":""""}",discover,lost his key
0,47,32,female,English,AmE,""":""""}",final NRRC,saw the murder
0,47,32,female,English,AmE,""":""""}",NAI MC,control
0,47,32,female,English,AmE,""":""""}",confess,bought a new car
1,47,32,female,English,AmE,""":""""}",be right,stole the money
0,47,32,female,English,AmE,""":""""}",medial NRRC,ate the last cupcake
1,47,32,female,English,AmE,""":""""}",AI MC,control
0,47,32,female,English,AmE,""":""""}",confirm,cheated on his wife
0,47,32,female,English,AmE,""":""""}",know,broke the plate
0.87,62,36,female,English,AmE,""":""""}",discover,stole the money
0.75,62,36,female,English,AmE,""":""""}",know,ate the last cupcake
0.82,62,36,female,English,AmE,""":""""}",be right,bought a new car
0,62,36,female,English,AmE,""":""""}",NAI MC,control
0.88,62,36,female,English,AmE,""":""""}",AI MC,control
0.93,62,36,female,English,AmE,""":""""}",confirm,broke the plate
0.88,62,36,female,English,AmE,""":""""}",confess,saw the murder
0.04,62,36,female,English,AmE,""":""""}",medial NRRC,lost his key
0.08,62,36,female,English,AmE,""":""""}",final NRRC,cheated on his wife
0,23,42,male,English,AmE,""":""""}",NAI MC,control
1,23,42,male,English,AmE,""":""""}",discover,broke the plate
0.57,23,42,male,English,AmE,""":""""}",be right,ate the last cupcake
0,23,42,male,English,AmE,""":""""}",know,cheated on his wife
0,23,42,male,English,AmE,""":""""}",confirm,bought a new car
1,23,42,male,English,AmE,""":""""}",AI MC,control
0,23,42,male,English,AmE,""":""""}",medial NRRC,lost his key
0,23,42,male,English,AmE,""":""""}",confess,saw the murder
0,23,42,male,English,AmE,""":""""}",final NRRC,stole the money
1,33,45,female,English,AmE,""":""""}",AI MC,control
0,33,45,female,English,AmE,""":""""}",NAI MC,control
1,33,45,female,English,AmE,""":""""}",be right,ate the last cupcake
0,33,45,female,English,AmE,""":""""}",discover,bought a new car
0,33,45,female,English,AmE,""":""""}",final NRRC,cheated on his wife
1,33,45,female,English,AmE,""":""""}",know,lost his key
1,33,45,female,English,AmE,""":""""}",confirm,stole the money
0,33,45,female,English,AmE,""":""""}",confess,broke the plate
0.03,33,45,female,English,AmE,""":""""}",medial NRRC,saw the murder
1,9,24,female,English,AmE,""":""""}",be right,cheated on his wife
0,9,24,female,English,AmE,""":""""}",final NRRC,saw the murder
0,9,24,female,English,AmE,""":""""}",NAI MC,control
0,9,24,female,English,AmE,""":""""}",know,ate the last cupcake
0,9,24,female,English,AmE,""":""""}",discover,stole the money
0,9,24,female,English,AmE,""":""""}",medial NRRC,lost his key
1,9,24,female,English,AmE,""":""""}",confirm,broke the plate
1,9,24,female,English,AmE,""":""""}",AI MC,control
1,9,24,female,English,AmE,""":""""}",confess,bought a new car
0,60,39,male,English,AmE,""":""""}",know,stole the money
0,60,39,male,English,AmE,""":""""}",final NRRC,lost his key
0,60,39,male,English,AmE,""":""""}",confess,ate the last cupcake
1,60,39,male,English,AmE,""":""""}",be right,cheated on his wife
0,60,39,male,English,AmE,""":""""}",medial NRRC,saw the murder
0.78,60,39,male,English,AmE,""":""""}",confirm,broke the plate
0,60,39,male,English,AmE,""":""""}",NAI MC,control
0,60,39,male,English,AmE,""":""""}",discover,bought a new car
1,60,39,male,English,AmE,""":""""}",AI MC,control
1,39,29,male,English,AmE,""":""the study was interesting""}",confirm,bought a new car
0,39,29,male,English,AmE,""":""the study was interesting""}",know,broke the plate
1,39,29,male,English,AmE,""":""the study was interesting""}",AI MC,control
1,39,29,male,English,AmE,""":""the study was interesting""}",be right,ate the last cupcake
0,39,29,male,English,AmE,""":""the study was interesting""}",confess,lost his key
1,39,29,male,English,AmE,""":""the study was interesting""}",final NRRC,cheated on his wife
1,39,29,male,English,AmE,""":""the study was interesting""}",discover,saw the murder
0,39,29,male,English,AmE,""":""the study was interesting""}",medial NRRC,stole the money
0,39,29,male,English,AmE,""":""the study was interesting""}",NAI MC,control
0,35,34,female,English,AmE,""":""""}",know,stole the money
1,35,34,female,English,AmE,""":""""}",be right,cheated on his wife
1,35,34,female,English,AmE,""":""""}",AI MC,control
0.64,35,34,female,English,AmE,""":""""}",confess,lost his key
0,35,34,female,English,AmE,""":""""}",final NRRC,saw the murder
0,35,34,female,English,AmE,""":""""}",NAI MC,control
0,35,34,female,English,AmE,""":""""}",medial NRRC,bought a new car
0.72,35,34,female,English,AmE,""":""""}",confirm,broke the plate
0,35,34,female,English,AmE,""":""""}",discover,ate the last cupcake
0,2,40,male,English,AmE,""":""""}",NAI MC,control
0,2,40,male,English,AmE,""":""""}",medial NRRC,lost his key
1,2,40,male,English,AmE,""":""""}",AI MC,control
0,2,40,male,English,AmE,""":""""}",final NRRC,saw the murder
0.16,2,40,male,English,AmE,""":""""}",discover,ate the last cupcake
0.72,2,40,male,English,AmE,""":""""}",confirm,cheated on his wife
0,2,40,male,English,AmE,""":""""}",know,broke the plate
0,2,40,male,English,AmE,""":""""}",confess,bought a new car
0.9,2,40,male,English,AmE,""":""""}",be right,stole the money
0.91,64,28,female,English,AmE,""":""""}",confirm,broke the plate
0,64,28,female,English,AmE,""":""""}",medial NRRC,bought a new car
0,64,28,female,English,AmE,""":""""}",NAI MC,control
0,64,28,female,English,AmE,""":""""}",final NRRC,ate the last cupcake
0.84,64,28,female,English,AmE,""":""""}",confess,cheated on his wife
1,64,28,female,English,AmE,""":""""}",discover,saw the murder
0.9,64,28,female,English,AmE,""":""""}",be right,stole the money
0,64,28,female,English,AmE,""":""""}",know,lost his key
0.96,64,28,female,English,AmE,""":""""}",AI MC,control
0.26,59,24,male,English,AmE,""":""none""}",confess,cheated on his wife
1,59,24,male,English,AmE,""":""none""}",AI MC,control
0,59,24,male,English,AmE,""":""none""}",know,lost his key
0,59,24,male,English,AmE,""":""none""}",NAI MC,control
0.94,59,24,male,English,AmE,""":""none""}",be right,ate the last cupcake
0,59,24,male,English,AmE,""":""none""}",discover,bought a new car
0,59,24,male,English,AmE,""":""none""}",medial NRRC,broke the plate
0.36,59,24,male,English,AmE,""":""none""}",confirm,stole the money
0,59,24,male,English,AmE,""":""none""}",final NRRC,saw the murder
1,12,29,male,English,AmE,""":""none""}",discover,ate the last cupcake
0.37,12,29,male,English,AmE,""":""none""}",confirm,stole the money
0.13,12,29,male,English,AmE,""":""none""}",medial NRRC,saw the murder
0,12,29,male,English,AmE,""":""none""}",NAI MC,control
0.75,12,29,male,English,AmE,""":""none""}",be right,lost his key
0.65,12,29,male,English,AmE,""":""none""}",final NRRC,cheated on his wife
0.04,12,29,male,English,AmE,""":""none""}",know,bought a new car
1,12,29,male,English,AmE,""":""none""}",AI MC,control
0.1,12,29,male,English,AmE,""":""none""}",confess,broke the plate
0,67,22,female,English,AmE,""":""""}",NAI MC,control
1,67,22,female,English,AmE,""":""""}",be right,lost his key
1,67,22,female,English,AmE,""":""""}",AI MC,control
0.13,67,22,female,English,AmE,""":""""}",medial NRRC,broke the plate
0.06,67,22,female,English,AmE,""":""""}",know,ate the last cupcake
0.02,67,22,female,English,AmE,""":""""}",final NRRC,cheated on his wife
0.08,67,22,female,English,AmE,""":""""}",confess,bought a new car
0.95,67,22,female,English,AmE,""":""""}",confirm,saw the murder
0.14,67,22,female,English,AmE,""":""""}",discover,stole the money
0,27,65,female,English,AmE,""":""""}",medial NRRC,saw the murder
0.06,27,65,female,English,AmE,""":""""}",know,broke the plate
0.86,27,65,female,English,AmE,""":""""}",confirm,cheated on his wife
1,27,65,female,English,AmE,""":""""}",AI MC,control
0.08,27,65,female,English,AmE,""":""""}",discover,bought a new car
0.86,27,65,female,English,AmE,""":""""}",be right,stole the money
0.05,27,65,female,English,AmE,""":""""}",final NRRC,ate the last cupcake
0,27,65,female,English,AmE,""":""""}",NAI MC,control
0.11,27,65,female,English,AmE,""":""""}",confess,lost his key
0.02,7,31,female,English,AmE,""":""""}",know,cheated on his wife
1,7,31,female,English,AmE,""":""""}",be right,ate the last cupcake
1,7,31,female,English,AmE,""":""""}",AI MC,control
0.09,7,31,female,English,AmE,""":""""}",confess,bought a new car
0.7,7,31,female,English,AmE,""":""""}",confirm,broke the plate
0,7,31,female,English,AmE,""":""""}",medial NRRC,saw the murder
0,7,31,female,English,AmE,""":""""}",final NRRC,stole the money
0,7,31,female,English,AmE,""":""""}",NAI MC,control
0.03,7,31,female,English,AmE,""":""""}",discover,lost his key
1,40,40,female,English,AmE,""":""""}",be right,stole the money
0,40,40,female,English,AmE,""":""""}",NAI MC,control
0,40,40,female,English,AmE,""":""""}",confess,saw the murder
1,40,40,female,English,AmE,""":""""}",know,cheated on his wife
1,40,40,female,English,AmE,""":""""}",confirm,lost his key
0,40,40,female,English,AmE,""":""""}",medial NRRC,bought a new car
1,40,40,female,English,AmE,""":""""}",AI MC,control
1,40,40,female,English,AmE,""":""""}",discover,ate the last cupcake
0,40,40,female,English,AmE,""":""""}",final NRRC,broke the plate
0,11,38,male,English,AmE,""":""""}",NAI MC,control
0.9,11,38,male,English,AmE,""":""""}",know,bought a new car
0,11,38,male,English,AmE,""":""""}",discover,stole the money
0.76,11,38,male,English,AmE,""":""""}",confirm,cheated on his wife
0.73,11,38,male,English,AmE,""":""""}",be right,lost his key
0.37,11,38,male,English,AmE,""":""""}",medial NRRC,ate the last cupcake
0.76,11,38,male,English,AmE,""":""""}",confess,broke the plate
1,11,38,male,English,AmE,""":""""}",AI MC,control
0.28,11,38,male,English,AmE,""":""""}",final NRRC,saw the murder
