rt,response,trial_type,trial_index,time_elapsed,internal_node_id,correct,stimulus,question_order,accuracy,participant_id,ctime
5881,"{""Q0"":""Mary""}",survey-text,0,5897,0.0-0.0-0.0,TRUE,NA,NA,NA,99076ad4-080b-4370-af31-5b512dae610e,2024-08-07 17:25:11 CEST
1065,0,html-button-response,1,6963,0.0-0.0-3.0-0.0,NA,<p style='text-align:left'><b> Correct response! You are a human :) </b><br><br></p>,NA,NA,99076ad4-080b-4370-af31-5b512dae610e,2024-08-07 17:25:11 CEST
7073,0,html-button-response,2,14037,0.0-1.0,NA,"<style>.jsPsych-servey-multi-choice-button {border-radius: 50%;               background-color: white;               border: 0.1px solid #000000;               box-shadow: none;               width: 14px;               height: 14px;               margin-bottom: 5px;               margin-top: 2px;               margin-right: 9px;               color: darked;  }               </style>  <h3>Instructions</h3>  <p style='text-align:left'>In this experiment, you will read nine statements by a speaker, as in the example below, where Candy makes a statement. You will then read three possible responses, here by Lenny.</p>  <p style='text-align:left'> <b>Candy</b>: <i>Jens thinks that it is going to rain tomorrow. </i> <br> <b>Lenny</b>: <br> <button class='jsPsych-servey-multi-choice-button' disabled></button>1.<i> No, it is not going to rain tomorrow. </i> <br> <button class='jsPsych-servey-multi-choice-button' disabled></button>2. <i> Yes, and it is not going to rain tomorrow.</i> <br> <button class='jsPsych-servey-multi-choice-button' disabled></button>3.<i> Yes, but it is not going to rain tomorrow.</i></p>  <p style='text-align:left'>We ask you to choose the response that sounds best to you by selecting the button in front of the response.</p>  <p style='text-align:left'>This experiment will take around 2 minutes, and you will be paid 40 cents.</p>  <p style='text-align:left' font size=""1"">By clicking on the button below, you agree to participate in this experiment, which is conducted by researchers at the University of Stuttgart. You may withdraw from this experiment at any time. The data collected will be anonymous and confidential. If you have any questions, you may contact the requester through Prolific's platform, or directly at st180735@stud.uni-stuttgart.de.</p>",NA,NA,99076ad4-080b-4370-af31-5b512dae610e,2024-08-07 17:25:11 CEST
6482,"{""<b>Robert:</b><em> Betsy has a cat. </em><br><br><b>Maximilian:</b>"":""<em>Yes, and she loves it so much.</em><br> <br> Please choose the response by Maximilian that sounds best to you.""}",survey-multi-choice,3,20522,0.0-2.0,NA,NA,[0],NA,99076ad4-080b-4370-af31-5b512dae610e,2024-08-07 17:25:11 CEST
24448,"{""<b>Clare:</b> <em> Dustin, who lost his key, feels upset.</em><br><br><b>Charlie:</b>"":""<em>Yes, but he didn't lose his key.</em>""}",survey-multi-choice,4,44973,0.0-3.0,NA,NA,[0],NA,99076ad4-080b-4370-af31-5b512dae610e,2024-08-07 17:25:11 CEST
11461,"{""<b>Oliver:</b> <em> Mia confirmed that Greg bought a new car.</em><br><br><b>Steven:</b>"":""<em>Yes, but he didn't buy a new car.</em>""}",survey-multi-choice,5,56438,0.0-4.0,NA,NA,[0],NA,99076ad4-080b-4370-af31-5b512dae610e,2024-08-07 17:25:11 CEST
9342,"{""<b>Mary:</b><em> Arthur took a French course.</em><br><br><b>Lily:</b>"":""<em>No, he didn't take a French course.</em><br> <br> Please choose the response by Lily that sounds best to you.""}",survey-multi-choice,6,65783,0.0-5.0,NA,NA,[0],NA,99076ad4-080b-4370-af31-5b512dae610e,2024-08-07 17:25:11 CEST
6865,"{""<b>Alice:</b> <em> Linda confessed that Danny ate the last cupcake.</em><br><br><b>Isabel:</b>"":""<em>Yes, but he didn't eat the last cupcake.</em>""}",survey-multi-choice,7,72651,0.0-6.0,NA,NA,[0],NA,99076ad4-080b-4370-af31-5b512dae610e,2024-08-07 17:25:11 CEST
5906,"{""<b>Bob:</b> <em> David knows that Ann stole the money.</em><br><br><b>Grace:</b>"":""<em>No, she didn't steal the money.</em>""}",survey-multi-choice,8,78560,0.0-7.0,NA,NA,[0],NA,99076ad4-080b-4370-af31-5b512dae610e,2024-08-07 17:25:11 CEST
6099,"{""<b>William:</b> <em> Ann criticized Raul, who cheated on his wife.</em><br><br><b>Vincent:</b>"":""<em>Yes, but he didn't cheat on his wife.</em>""}",survey-multi-choice,9,84662,0.0-8.0,NA,NA,[0],NA,99076ad4-080b-4370-af31-5b512dae610e,2024-08-07 17:25:11 CEST
4720,"{""<b>Leo:</b> <em> Tony discovered that Lucy broke the plate.</em><br><br><b>Dawn:</b>"":""<em>Yes, but she didn't break the plate.</em>""}",survey-multi-choice,10,89385,0.0-9.0,NA,NA,[0],NA,99076ad4-080b-4370-af31-5b512dae610e,2024-08-07 17:25:11 CEST
3779,"{""<b>Charlotte:</b> <em> Sophia is right that Jack saw the murder.</em><br><br><b>Ken:</b>"":""<em>No, he didn't see the murder.</em>""}",survey-multi-choice,11,93167,0.0-10.0,NA,NA,[0],NA,99076ad4-080b-4370-af31-5b512dae610e,2024-08-07 17:25:11 CEST
8789,"{""P0_Q0"":null,""age"":""23"",""gender"":""female"",""language"":""yes"",""amE"":""yes"",""comments"":""""}",survey,12,102026,0.0-11.0,NA,NA,NA,[],99076ad4-080b-4370-af31-5b512dae610e,2024-08-07 17:25:11 CEST
8430,"{""Q0"":""Sarah""}",survey-text,0,8452,0.0-0.0-0.0,TRUE,NA,NA,NA,e92bae3a-491c-4ce3-8c3d-14361ff60488,2024-08-07 17:25:30 CEST
1346,0,html-button-response,1,9799,0.0-0.0-3.0-0.0,NA,<p style='text-align:left'><b> Correct response! You are a human :) </b><br><br></p>,NA,NA,e92bae3a-491c-4ce3-8c3d-14361ff60488,2024-08-07 17:25:30 CEST
17759,0,html-button-response,2,27559,0.0-1.0,NA,"<style>.jsPsych-servey-multi-choice-button {border-radius: 50%;               background-color: white;               border: 0.1px solid #000000;               box-shadow: none;               width: 14px;               height: 14px;               margin-bottom: 5px;               margin-top: 2px;               margin-right: 9px;               color: darked;  }               </style>  <h3>Instructions</h3>  <p style='text-align:left'>In this experiment, you will read nine statements by a speaker, as in the example below, where Candy makes a statement. You will then read three possible responses, here by Lenny.</p>  <p style='text-align:left'> <b>Candy</b>: <i>Jens thinks that it is going to rain tomorrow. </i> <br> <b>Lenny</b>: <br> <button class='jsPsych-servey-multi-choice-button' disabled></button>1.<i> No, it is not going to rain tomorrow. </i> <br> <button class='jsPsych-servey-multi-choice-button' disabled></button>2. <i> Yes, and it is not going to rain tomorrow.</i> <br> <button class='jsPsych-servey-multi-choice-button' disabled></button>3.<i> Yes, but it is not going to rain tomorrow.</i></p>  <p style='text-align:left'>We ask you to choose the response that sounds best to you by selecting the button in front of the response.</p>  <p style='text-align:left'>This experiment will take around 2 minutes, and you will be paid 40 cents.</p>  <p style='text-align:left' font size=""1"">By clicking on the button below, you agree to participate in this experiment, which is conducted by researchers at the University of Stuttgart. You may withdraw from this experiment at any time. The data collected will be anonymous and confidential. If you have any questions, you may contact the requester through Prolific's platform, or directly at st180735@stud.uni-stuttgart.de.</p>",NA,NA,e92bae3a-491c-4ce3-8c3d-14361ff60488,2024-08-07 17:25:30 CEST
9033,"{""<b>Chloe:</b> <em> Patricia is right that Dustin lost his key.</em><br><br><b>Oliver:</b>"":""<em>No, he didn't lose his key.</em>""}",survey-multi-choice,3,36596,0.0-2.0,NA,NA,[0],NA,e92bae3a-491c-4ce3-8c3d-14361ff60488,2024-08-07 17:25:30 CEST
8354,"{""<b>Vincent:</b> <em> Tony discovered that Lucy broke the plate.</em><br><br><b>Isabel:</b>"":""<em>No, she didn't break the plate.</em>""}",survey-multi-choice,4,44952,0.0-3.0,NA,NA,[0],NA,e92bae3a-491c-4ce3-8c3d-14361ff60488,2024-08-07 17:25:30 CEST
6877,"{""<b>Mary:</b><em> Arthur took a French course.</em><br><br><b>Lily:</b>"":""<em>No, he didn't take a French course.</em><br> <br> Please choose the response by Lily that sounds best to you.""}",survey-multi-choice,5,51832,0.0-4.0,NA,NA,[0],NA,e92bae3a-491c-4ce3-8c3d-14361ff60488,2024-08-07 17:25:30 CEST
10502,"{""<b>Ken:</b> <em> Greg, who bought a new car, has a driver's license.</em><br><br><b>Clare:</b>"":""<em>No, he didn't buy a new car.</em>""}",survey-multi-choice,6,62336,0.0-5.0,NA,NA,[0],NA,e92bae3a-491c-4ce3-8c3d-14361ff60488,2024-08-07 17:25:30 CEST
5365,"{""<b>Robert:</b><em> Betsy has a cat. </em><br><br><b>Maximilian:</b>"":""<em>Yes, and she loves it so much.</em><br> <br> Please choose the response by Maximilian that sounds best to you.""}",survey-multi-choice,7,67703,0.0-6.0,NA,NA,[0],NA,e92bae3a-491c-4ce3-8c3d-14361ff60488,2024-08-07 17:25:30 CEST
