response,trial_index,trial_type,participantID,age,gender,language,amE,comments,expression,cc
0.43,3,html-slider-response,38,54,female,English,AmE,""":""""}",be right,broke the plate
0.64,5,html-slider-response,38,54,female,English,AmE,""":""""}",know,lost his key
0.55,6,html-slider-response,38,54,female,English,AmE,""":""""}",confirm,saw the murder
0.34,7,html-slider-response,38,54,female,English,AmE,""":""""}",confess,ate the last cupcake
0.69,8,html-slider-response,38,54,female,English,AmE,""":""""}",discover,stole the money
0.61,9,html-slider-response,38,54,female,English,AmE,""":""""}",fnrrc,bought a new car
0.56,11,html-slider-response,38,54,female,English,AmE,""":""""}",mnrrc,cheated on his wife
0.74,3,html-slider-response,27,372,male,English,AmE,""":""I couldn't figure out if I was judging on the harshness of the rejection or the naturalness of the rejection. Which are 2 different things to me. Thank you,""}",discover,lost his key
1,5,html-slider-response,27,372,male,English,AmE,""":""I couldn't figure out if I was judging on the harshness of the rejection or the naturalness of the rejection. Which are 2 different things to me. Thank you,""}",mnrrc,saw the murder
0.82,6,html-slider-response,27,372,male,English,AmE,""":""I couldn't figure out if I was judging on the harshness of the rejection or the naturalness of the rejection. Which are 2 different things to me. Thank you,""}",confirm,bought a new car
0.84,7,html-slider-response,27,372,male,English,AmE,""":""I couldn't figure out if I was judging on the harshness of the rejection or the naturalness of the rejection. Which are 2 different things to me. Thank you,""}",be right,cheated on his wife
0.83,9,html-slider-response,27,372,male,English,AmE,""":""I couldn't figure out if I was judging on the harshness of the rejection or the naturalness of the rejection. Which are 2 different things to me. Thank you,""}",know,ate the last cupcake
0.87,10,html-slider-response,27,372,male,English,AmE,""":""I couldn't figure out if I was judging on the harshness of the rejection or the naturalness of the rejection. Which are 2 different things to me. Thank you,""}",confess,broke the plate
0.87,11,html-slider-response,27,372,male,English,AmE,""":""I couldn't figure out if I was judging on the harshness of the rejection or the naturalness of the rejection. Which are 2 different things to me. Thank you,""}",fnrrc,stole the money
1,4,html-slider-response,59,58,female,English,AmE,""":""""}",confirm,stole the money
1,5,html-slider-response,59,58,female,English,AmE,""":""""}",confess,saw the murder
1,6,html-slider-response,59,58,female,English,AmE,""":""""}",know,broke the plate
1,8,html-slider-response,59,58,female,English,AmE,""":""""}",mnrrc,bought a new car
1,9,html-slider-response,59,58,female,English,AmE,""":""""}",fnrrc,cheated on his wife
0.5,10,html-slider-response,59,58,female,English,AmE,""":""""}",be right,ate the last cupcake
0.89,11,html-slider-response,59,58,female,English,AmE,""":""""}",discover,lost his key
0.7,3,html-slider-response,54,27,female,English,AmE,""":""""}",be right,cheated on his wife
0.7,4,html-slider-response,54,27,female,English,AmE,""":""""}",know,stole the money
0.63,5,html-slider-response,54,27,female,English,AmE,""":""""}",confirm,lost his key
0.65,6,html-slider-response,54,27,female,English,AmE,""":""""}",confess,saw the murder
0.39,7,html-slider-response,54,27,female,English,AmE,""":""""}",mnrrc,ate the last cupcake
0.61,9,html-slider-response,54,27,female,English,AmE,""":""""}",discover,bought a new car
1,11,html-slider-response,54,27,female,English,AmE,""":""""}",fnrrc,broke the plate
0.9,3,html-slider-response,60,41,female,English,AmE,""":""""}",know,stole the money
0.62,4,html-slider-response,60,41,female,English,AmE,""":""""}",be right,saw the murder
0.79,6,html-slider-response,60,41,female,English,AmE,""":""""}",confess,lost his key
0.71,8,html-slider-response,60,41,female,English,AmE,""":""""}",discover,broke the plate
0.77,9,html-slider-response,60,41,female,English,AmE,""":""""}",mnrrc,ate the last cupcake
0.77,10,html-slider-response,60,41,female,English,AmE,""":""""}",fnrrc,cheated on his wife
0.68,11,html-slider-response,60,41,female,English,AmE,""":""""}",confirm,bought a new car
0.8,3,html-slider-response,1,36,male,English,AmE,""":""""}",mnrrc,ate the last cupcake
0.79,5,html-slider-response,1,36,male,English,AmE,""":""""}",discover,stole the money
1,6,html-slider-response,1,36,male,English,AmE,""":""""}",fnrrc,bought a new car
1,7,html-slider-response,1,36,male,English,AmE,""":""""}",know,broke the plate
0.8,8,html-slider-response,1,36,male,English,AmE,""":""""}",confess,saw the murder
0.78,9,html-slider-response,1,36,male,English,AmE,""":""""}",be right,lost his key
0.84,10,html-slider-response,1,36,male,English,AmE,""":""""}",confirm,cheated on his wife
1,4,html-slider-response,7,34,female,English,AmE,""":""This one was tough. I would have done better if I had first seen examples of natural rejections vs unnatural although maybe that would have defeated the purpose. There were some I felt I would have rated lower had I seen them in a different order or if I had had the option to go back and change answers. ""}",be right,ate the last cupcake
0.9,5,html-slider-response,7,34,female,English,AmE,""":""This one was tough. I would have done better if I had first seen examples of natural rejections vs unnatural although maybe that would have defeated the purpose. There were some I felt I would have rated lower had I seen them in a different order or if I had had the option to go back and change answers. ""}",know,broke the plate
1,6,html-slider-response,7,34,female,English,AmE,""":""This one was tough. I would have done better if I had first seen examples of natural rejections vs unnatural although maybe that would have defeated the purpose. There were some I felt I would have rated lower had I seen them in a different order or if I had had the option to go back and change answers. ""}",mnrrc,stole the money
0.88,7,html-slider-response,7,34,female,English,AmE,""":""This one was tough. I would have done better if I had first seen examples of natural rejections vs unnatural although maybe that would have defeated the purpose. There were some I felt I would have rated lower had I seen them in a different order or if I had had the option to go back and change answers. ""}",discover,cheated on his wife
1,8,html-slider-response,7,34,female,English,AmE,""":""This one was tough. I would have done better if I had first seen examples of natural rejections vs unnatural although maybe that would have defeated the purpose. There were some I felt I would have rated lower had I seen them in a different order or if I had had the option to go back and change answers. ""}",fnrrc,lost his key
1,10,html-slider-response,7,34,female,English,AmE,""":""This one was tough. I would have done better if I had first seen examples of natural rejections vs unnatural although maybe that would have defeated the purpose. There were some I felt I would have rated lower had I seen them in a different order or if I had had the option to go back and change answers. ""}",confirm,bought a new car
0.83,11,html-slider-response,7,34,female,English,AmE,""":""This one was tough. I would have done better if I had first seen examples of natural rejections vs unnatural although maybe that would have defeated the purpose. There were some I felt I would have rated lower had I seen them in a different order or if I had had the option to go back and change answers. ""}",confess,saw the murder
0.84,3,html-slider-response,2,56,female,English,AmE,""":""""}",confirm,cheated on his wife
0.81,4,html-slider-response,2,56,female,English,AmE,""":""""}",know,ate the last cupcake
0.92,6,html-slider-response,2,56,female,English,AmE,""":""""}",confess,broke the plate
0.7,7,html-slider-response,2,56,female,English,AmE,""":""""}",be right,bought a new car
0.6,8,html-slider-response,2,56,female,English,AmE,""":""""}",fnrrc,saw the murder
0.68,9,html-slider-response,2,56,female,English,AmE,""":""""}",discover,stole the money
0.37,11,html-slider-response,2,56,female,English,AmE,""":""""}",mnrrc,lost his key
0.05,3,html-slider-response,62,32,female,English,AmE,""":""""}",fnrrc,ate the last cupcake
0.85,4,html-slider-response,62,32,female,English,AmE,""":""""}",mnrrc,stole the money
1,5,html-slider-response,62,32,female,English,AmE,""":""""}",confess,bought a new car
0.79,7,html-slider-response,62,32,female,English,AmE,""":""""}",know,lost his key
0.87,8,html-slider-response,62,32,female,English,AmE,""":""""}",confirm,saw the murder
0.94,9,html-slider-response,62,32,female,English,AmE,""":""""}",be right,cheated on his wife
1,11,html-slider-response,62,32,female,English,AmE,""":""""}",discover,broke the plate
0.71,4,html-slider-response,17,28,female,English,AmE,""":""""}",know,ate the last cupcake
0.31,5,html-slider-response,17,28,female,English,AmE,""":""""}",fnrrc,stole the money
0.05,6,html-slider-response,17,28,female,English,AmE,""":""""}",discover,bought a new car
0.79,7,html-slider-response,17,28,female,English,AmE,""":""""}",confirm,cheated on his wife
0.78,9,html-slider-response,17,28,female,English,AmE,""":""""}",be right,broke the plate
0,10,html-slider-response,17,28,female,English,AmE,""":""""}",mnrrc,lost his key
0.23,11,html-slider-response,17,28,female,English,AmE,""":""""}",confess,saw the murder
0.56,3,html-slider-response,72,66,male,English,AmE,""":""""}",know,cheated on his wife
0.42,4,html-slider-response,72,66,male,English,AmE,""":""""}",mnrrc,bought a new car
0.44,5,html-slider-response,72,66,male,English,AmE,""":""""}",be right,ate the last cupcake
0.39,6,html-slider-response,72,66,male,English,AmE,""":""""}",confess,saw the murder
0.38,7,html-slider-response,72,66,male,English,AmE,""":""""}",fnrrc,broke the plate
0.39,8,html-slider-response,72,66,male,English,AmE,""":""""}",discover,lost his key
0.4,9,html-slider-response,72,66,male,English,AmE,""":""""}",confirm,stole the money
0.46,3,html-slider-response,45,34,female,English,AmE,""":""""}",confess,ate the last cupcake
0.48,4,html-slider-response,45,34,female,English,AmE,""":""""}",discover,bought a new car
0.38,6,html-slider-response,45,34,female,English,AmE,""":""""}",mnrrc,cheated on his wife
0.49,8,html-slider-response,45,34,female,English,AmE,""":""""}",fnrrc,lost his key
0.55,9,html-slider-response,45,34,female,English,AmE,""":""""}",confirm,stole the money
0.58,10,html-slider-response,45,34,female,English,AmE,""":""""}",be right,saw the murder
0.56,11,html-slider-response,45,34,female,English,AmE,""":""""}",know,broke the plate
0.26,4,html-slider-response,76,19,female,English,AmE,""":""""}",mnrrc,lost his key
0.73,6,html-slider-response,76,19,female,English,AmE,""":""""}",be right,stole the money
0.61,7,html-slider-response,76,19,female,English,AmE,""":""""}",fnrrc,bought a new car
0.35,8,html-slider-response,76,19,female,English,AmE,""":""""}",confess,saw the murder
0.73,9,html-slider-response,76,19,female,English,AmE,""":""""}",discover,ate the last cupcake
0.9,10,html-slider-response,76,19,female,English,AmE,""":""""}",know,broke the plate
0.72,11,html-slider-response,76,19,female,English,AmE,""":""""}",confirm,cheated on his wife
1,3,html-slider-response,22,42,female,English,AmE,""":""""}",be right,stole the money
1,4,html-slider-response,22,42,female,English,AmE,""":""""}",fnrrc,ate the last cupcake
1,5,html-slider-response,22,42,female,English,AmE,""":""""}",discover,broke the plate
0.88,7,html-slider-response,22,42,female,English,AmE,""":""""}",mnrrc,bought a new car
0.83,8,html-slider-response,22,42,female,English,AmE,""":""""}",confess,cheated on his wife
1,9,html-slider-response,22,42,female,English,AmE,""":""""}",know,lost his key
0.81,10,html-slider-response,22,42,female,English,AmE,""":""""}",confirm,saw the murder
0.22,3,html-slider-response,47,50,male,English,AmE,""":""Thank you.""}",fnrrc,cheated on his wife
0.73,4,html-slider-response,47,50,male,English,AmE,""":""Thank you.""}",know,stole the money
0.94,6,html-slider-response,47,50,male,English,AmE,""":""Thank you.""}",be right,ate the last cupcake
0.77,7,html-slider-response,47,50,male,English,AmE,""":""Thank you.""}",confess,saw the murder
0.32,8,html-slider-response,47,50,male,English,AmE,""":""Thank you.""}",confirm,broke the plate
0.26,10,html-slider-response,47,50,male,English,AmE,""":""Thank you.""}",discover,bought a new car
0.1,11,html-slider-response,47,50,male,English,AmE,""":""Thank you.""}",mnrrc,lost his key
0.82,3,html-slider-response,37,24,male,English,AmE,""":""""}",discover,stole the money
0.88,5,html-slider-response,37,24,male,English,AmE,""":""""}",confess,bought a new car
0.9,6,html-slider-response,37,24,male,English,AmE,""":""""}",confirm,lost his key
0.91,7,html-slider-response,37,24,male,English,AmE,""":""""}",know,broke the plate
0.93,8,html-slider-response,37,24,male,English,AmE,""":""""}",mnrrc,saw the murder
0.92,9,html-slider-response,37,24,male,English,AmE,""":""""}",fnrrc,ate the last cupcake
0.85,11,html-slider-response,37,24,male,English,AmE,""":""""}",be right,cheated on his wife
0.76,3,html-slider-response,61,36,female,English,AmE,""":""""}",discover,stole the money
0.71,4,html-slider-response,61,36,female,English,AmE,""":""""}",confess,cheated on his wife
0.75,5,html-slider-response,61,36,female,English,AmE,""":""""}",fnrrc,broke the plate
0.63,6,html-slider-response,61,36,female,English,AmE,""":""""}",know,lost his key
0.68,8,html-slider-response,61,36,female,English,AmE,""":""""}",confirm,ate the last cupcake
0.19,10,html-slider-response,61,36,female,English,AmE,""":""""}",be right,bought a new car
0.57,11,html-slider-response,61,36,female,English,AmE,""":""""}",mnrrc,saw the murder
0.42,3,html-slider-response,9,34,female,English,AmE,""":""""}",fnrrc,lost his key
0.34,4,html-slider-response,9,34,female,English,AmE,""":""""}",mnrrc,saw the murder
0.45,5,html-slider-response,9,34,female,English,AmE,""":""""}",know,cheated on his wife
0.42,6,html-slider-response,9,34,female,English,AmE,""":""""}",discover,ate the last cupcake
0.5,8,html-slider-response,9,34,female,English,AmE,""":""""}",confess,stole the money
0.5,10,html-slider-response,9,34,female,English,AmE,""":""""}",confirm,broke the plate
0.5,11,html-slider-response,9,34,female,English,AmE,""":""""}",be right,bought a new car
0.93,3,html-slider-response,26,39,male,English,AmE,""":""""}",confirm,ate the last cupcake
0.87,5,html-slider-response,26,39,male,English,AmE,""":""""}",be right,cheated on his wife
0.1,6,html-slider-response,26,39,male,English,AmE,""":""""}",discover,stole the money
0.83,8,html-slider-response,26,39,male,English,AmE,""":""""}",fnrrc,saw the murder
0.34,9,html-slider-response,26,39,male,English,AmE,""":""""}",confess,bought a new car
0.79,10,html-slider-response,26,39,male,English,AmE,""":""""}",know,lost his key
0.76,11,html-slider-response,26,39,male,English,AmE,""":""""}",mnrrc,broke the plate
0.86,4,html-slider-response,51,24,male,English,AmE,""":""This was great!""}",confess,stole the money
1,5,html-slider-response,51,24,male,English,AmE,""":""This was great!""}",discover,saw the murder
0.84,6,html-slider-response,51,24,male,English,AmE,""":""This was great!""}",confirm,ate the last cupcake
0.22,7,html-slider-response,51,24,male,English,AmE,""":""This was great!""}",mnrrc,broke the plate
0.75,9,html-slider-response,51,24,male,English,AmE,""":""This was great!""}",be right,lost his key
0.71,10,html-slider-response,51,24,male,English,AmE,""":""This was great!""}",fnrrc,bought a new car
0.86,11,html-slider-response,51,24,male,English,AmE,""":""This was great!""}",know,cheated on his wife
0.9,3,html-slider-response,33,30,female,English,AmE,""":""""}",confess,bought a new car
0.99,4,html-slider-response,33,30,female,English,AmE,""":""""}",confirm,stole the money
0.93,5,html-slider-response,33,30,female,English,AmE,""":""""}",be right,ate the last cupcake
0.97,7,html-slider-response,33,30,female,English,AmE,""":""""}",discover,cheated on his wife
0.84,9,html-slider-response,33,30,female,English,AmE,""":""""}",mnrrc,broke the plate
0.89,10,html-slider-response,33,30,female,English,AmE,""":""""}",know,saw the murder
0.89,11,html-slider-response,33,30,female,English,AmE,""":""""}",fnrrc,lost his key
1,3,html-slider-response,80,43,male,English,AmE,""":""""}",know,cheated on his wife
0.29,4,html-slider-response,80,43,male,English,AmE,""":""""}",fnrrc,lost his key
1,6,html-slider-response,80,43,male,English,AmE,""":""""}",discover,broke the plate
0.98,7,html-slider-response,80,43,male,English,AmE,""":""""}",confess,saw the murder
1,8,html-slider-response,80,43,male,English,AmE,""":""""}",confirm,stole the money
0.9,10,html-slider-response,80,43,male,English,AmE,""":""""}",mnrrc,ate the last cupcake
1,11,html-slider-response,80,43,male,English,AmE,""":""""}",be right,bought a new car
0.68,4,html-slider-response,5,19,male,English,AmE,""":""""}",be right,ate the last cupcake
0.55,5,html-slider-response,5,19,male,English,AmE,""":""""}",discover,broke the plate
0.61,6,html-slider-response,5,19,male,English,AmE,""":""""}",confirm,saw the murder
0.57,7,html-slider-response,5,19,male,English,AmE,""":""""}",fnrrc,cheated on his wife
0.27,8,html-slider-response,5,19,male,English,AmE,""":""""}",mnrrc,stole the money
0.79,9,html-slider-response,5,19,male,English,AmE,""":""""}",confess,bought a new car
0.72,11,html-slider-response,5,19,male,English,AmE,""":""""}",know,lost his key
0.92,3,html-slider-response,68,77,female,English,AmE,""":""Best with all your good work.""}",know,ate the last cupcake
0.86,4,html-slider-response,68,77,female,English,AmE,""":""Best with all your good work.""}",fnrrc,lost his key
0.96,6,html-slider-response,68,77,female,English,AmE,""":""Best with all your good work.""}",be right,cheated on his wife
0.94,7,html-slider-response,68,77,female,English,AmE,""":""Best with all your good work.""}",confirm,bought a new car
0.94,8,html-slider-response,68,77,female,English,AmE,""":""Best with all your good work.""}",confess,saw the murder
0.88,9,html-slider-response,68,77,female,English,AmE,""":""Best with all your good work.""}",discover,broke the plate
0.28,11,html-slider-response,68,77,female,English,AmE,""":""Best with all your good work.""}",mnrrc,stole the money
0.89,4,html-slider-response,71,62,female,English,AmE,""":""Thanks!""}",discover,saw the murder
0.93,5,html-slider-response,71,62,female,English,AmE,""":""Thanks!""}",confess,ate the last cupcake
0.91,6,html-slider-response,71,62,female,English,AmE,""":""Thanks!""}",know,stole the money
0.91,7,html-slider-response,71,62,female,English,AmE,""":""Thanks!""}",be right,lost his key
0.91,8,html-slider-response,71,62,female,English,AmE,""":""Thanks!""}",confirm,bought a new car
0.04,10,html-slider-response,71,62,female,English,AmE,""":""Thanks!""}",fnrrc,broke the plate
0.84,11,html-slider-response,71,62,female,English,AmE,""":""Thanks!""}",mnrrc,cheated on his wife
0.74,3,html-slider-response,15,33,female,English,AmE,""":""""}",confess,lost his key
1,4,html-slider-response,15,33,female,English,AmE,""":""""}",discover,bought a new car
0.18,5,html-slider-response,15,33,female,English,AmE,""":""""}",be right,cheated on his wife
0.09,7,html-slider-response,15,33,female,English,AmE,""":""""}",know,stole the money
0.99,8,html-slider-response,15,33,female,English,AmE,""":""""}",mnrrc,ate the last cupcake
0.29,10,html-slider-response,15,33,female,English,AmE,""":""""}",fnrrc,broke the plate
0.32,11,html-slider-response,15,33,female,English,AmE,""":""""}",confirm,saw the murder
1,3,html-slider-response,32,27,female,English,AmE,""":""""}",fnrrc,ate the last cupcake
1,5,html-slider-response,32,27,female,English,AmE,""":""""}",mnrrc,stole the money
1,6,html-slider-response,32,27,female,English,AmE,""":""""}",know,bought a new car
1,7,html-slider-response,32,27,female,English,AmE,""":""""}",confirm,saw the murder
1,9,html-slider-response,32,27,female,English,AmE,""":""""}",confess,broke the plate
1,10,html-slider-response,32,27,female,English,AmE,""":""""}",be right,cheated on his wife
1,11,html-slider-response,32,27,female,English,AmE,""":""""}",discover,lost his key
0.67,3,html-slider-response,25,49,female,English,AmE,""":""""}",discover,lost his key
0.77,4,html-slider-response,25,49,female,English,AmE,""":""""}",be right,stole the money
0.27,6,html-slider-response,25,49,female,English,AmE,""":""""}",fnrrc,ate the last cupcake
0.46,7,html-slider-response,25,49,female,English,AmE,""":""""}",know,saw the murder
0.29,8,html-slider-response,25,49,female,English,AmE,""":""""}",confirm,cheated on his wife
0.41,9,html-slider-response,25,49,female,English,AmE,""":""""}",confess,bought a new car
0.34,11,html-slider-response,25,49,female,English,AmE,""":""""}",mnrrc,broke the plate
0.98,3,html-slider-response,6,41,female,English,AmE,""":""""}",confess,cheated on his wife
0.92,6,html-slider-response,6,41,female,English,AmE,""":""""}",mnrrc,saw the murder
0.97,7,html-slider-response,6,41,female,English,AmE,""":""""}",know,ate the last cupcake
0.8,8,html-slider-response,6,41,female,English,AmE,""":""""}",fnrrc,lost his key
1,9,html-slider-response,6,41,female,English,AmE,""":""""}",be right,bought a new car
1,10,html-slider-response,6,41,female,English,AmE,""":""""}",confirm,broke the plate
0.96,11,html-slider-response,6,41,female,English,AmE,""":""""}",discover,stole the money
0.81,3,html-slider-response,24,48,female,English,AmE,""":""""}",confess,lost his key
0.82,4,html-slider-response,24,48,female,English,AmE,""":""""}",be right,cheated on his wife
0.68,5,html-slider-response,24,48,female,English,AmE,""":""""}",discover,saw the murder
0.59,6,html-slider-response,24,48,female,English,AmE,""":""""}",mnrrc,stole the money
0.79,8,html-slider-response,24,48,female,English,AmE,""":""""}",confirm,bought a new car
0.73,9,html-slider-response,24,48,female,English,AmE,""":""""}",fnrrc,broke the plate
0.76,11,html-slider-response,24,48,female,English,AmE,""":""""}",know,ate the last cupcake
0.7,3,html-slider-response,11,53,female,English,AmE,""":""""}",mnrrc,cheated on his wife
0.73,4,html-slider-response,11,53,female,English,AmE,""":""""}",fnrrc,bought a new car
0.87,5,html-slider-response,11,53,female,English,AmE,""":""""}",be right,stole the money
0.71,7,html-slider-response,11,53,female,English,AmE,""":""""}",know,ate the last cupcake
0.63,8,html-slider-response,11,53,female,English,AmE,""":""""}",confirm,saw the murder
0.83,10,html-slider-response,11,53,female,English,AmE,""":""""}",confess,broke the plate
0.88,11,html-slider-response,11,53,female,English,AmE,""":""""}",discover,lost his key
0.84,4,html-slider-response,49,35,female,English,AmE,""":""""}",be right,cheated on his wife
0.42,5,html-slider-response,49,35,female,English,AmE,""":""""}",fnrrc,lost his key
0.68,6,html-slider-response,49,35,female,English,AmE,""":""""}",discover,stole the money
0.82,7,html-slider-response,49,35,female,English,AmE,""":""""}",confess,bought a new car
0.58,8,html-slider-response,49,35,female,English,AmE,""":""""}",know,saw the murder
0.22,9,html-slider-response,49,35,female,English,AmE,""":""""}",mnrrc,broke the plate
0.61,11,html-slider-response,49,35,female,English,AmE,""":""""}",confirm,ate the last cupcake
0.9,3,html-slider-response,78,52,preferNoToSay,English,AmE,""":""""}",mnrrc,cheated on his wife
0.79,4,html-slider-response,78,52,preferNoToSay,English,AmE,""":""""}",know,saw the murder
0.87,5,html-slider-response,78,52,preferNoToSay,English,AmE,""":""""}",discover,broke the plate
0.86,6,html-slider-response,78,52,preferNoToSay,English,AmE,""":""""}",confirm,bought a new car
