"Timestamp","First person: ""Why did Don fly to Vancouver yesterday?""
Second person: “Did Carol discover that he’s Canadian?”
How certain is the second person that Don is Canadian?","First person: “Why did Bob refuse to pay Mary’s cab fare?""
Second person: “Did he realize that she’s wealthy?”
How certain is the second person that Mary is wealthy?","First person: “Why did Jessica walked away from Katia in the middle of their conversation?” 
Second person: “Did Jessica notice that Katia has bad breath?”
How certain is the second person that Katia has bad breath?","First person: ""Why did you recommend this movie to me?""
Second person: ""Do you know that the main actor is really famous?"" 
How certain is the second person that the main actor from the movie is really famous?","First person: “Why did Rachel bring maple sirup to the party!” 
Second person: “Did she discover that the host is Canadian?”
How certain is the second person that the host is Canadian?","First person: “Why did Mary buy rounds of drinks at the bar last night?” 
Second person: “Did her boyfriend realize that she’s wealthy?”
How certain is the second person that Mary is wealthy?","First person: “Why did Dan bring a tooth brush to the party?” 
Second person: “Did Lily notice that Dan has bad breath?”
How certain is the second person that Dan has bad breath?"
"2023/06/15 5:25:26 PM GMT+3","5","5","3","5","4","3","2"
"2023/06/15 5:30:09 PM GMT+3","1","4","4","3","4","2","3"
"2023/06/15 5:31:37 PM GMT+3","5","5","4","4","2","2","2"
"2023/06/15 5:32:35 PM GMT+3","3","5","4","5","3","2","3"
"2023/06/15 5:33:40 PM GMT+3","5","4","3","5","2","4","2"
"2023/06/15 5:35:22 PM GMT+3","5","5","5","5","1","5","2"
"2023/06/15 5:36:58 PM GMT+3","5","5","5","5","4","5","5"
"2023/06/15 5:47:12 PM GMT+3","4","5","1","5","3","4","3"
"2023/06/15 5:47:18 PM GMT+3","5","5","5","5","5","5","5"
"2023/06/15 5:50:45 PM GMT+3","2","3","2","3","2","2","3"
"2023/06/15 5:50:56 PM GMT+3","4","5","5","4","3","4","4"
"2023/06/15 5:51:05 PM GMT+3","2","5","3","4","5","5","5"
"2023/06/15 5:51:11 PM GMT+3","2","1","1","4","1","3","1"
"2023/06/15 5:51:23 PM GMT+3","2","4","4","5","4","3","2"
"2023/06/15 5:51:32 PM GMT+3","1","5","5","5","5","3","5"
"2023/06/15 5:51:58 PM GMT+3","1","2","3","5","5","5","5"
"2023/06/15 5:52:44 PM GMT+3","5","5","4","5","3","4","4"
"2023/06/15 5:53:03 PM GMT+3","4","5","4","3","4","4","5"
"2023/06/15 5:53:27 PM GMT+3","5","4","4","4","3","3","3"
"2023/06/15 5:54:01 PM GMT+3","5","5","4","5","5","5","4"
"2023/06/15 5:54:24 PM GMT+3","4","4","2","4","4","4","3"
"2023/06/15 5:55:05 PM GMT+3","4","3","3","3","5","3","4"
"2023/06/15 5:56:20 PM GMT+3","4","4","3","5","2","4","3"
"2023/06/15 5:56:40 PM GMT+3","5","4","2","4","2","3","2"
"2023/06/15 5:56:50 PM GMT+3","3","4","1","4","3","4","1"
"2023/06/15 5:57:20 PM GMT+3","5","5","4","5","3","4","4"
"2023/06/15 5:57:55 PM GMT+3","1","4","2","5","4","2","3"
"2023/06/15 5:58:10 PM GMT+3","2","4","4","4","3","3","4"
"2023/06/15 5:58:12 PM GMT+3","5","4","3","4","3","3","3"
"2023/06/15 5:58:38 PM GMT+3","5","3","2","5","2","3","1"
"2023/06/15 5:58:38 PM GMT+3","2","4","3","5","2","4","2"
"2023/06/15 5:58:44 PM GMT+3","3","5","2","5","5","4","2"
"2023/06/15 5:58:46 PM GMT+3","5","5","3","2","5","5","3"
"2023/06/15 5:58:50 PM GMT+3","3","5","1","5","5","2","1"
"2023/06/15 5:59:01 PM GMT+3","1","5","4","5","4","5","3"
"2023/06/15 5:59:44 PM GMT+3","2","5","5","5","5","4","4"
"2023/06/15 5:59:50 PM GMT+3","3","4","3","4","4","3","2"
"2023/06/15 6:00:10 PM GMT+3","3","1","5","3","3","3","3"
"2023/06/15 6:03:30 PM GMT+3","5","4","1","5","2","1","4"
"2023/06/15 6:10:55 PM GMT+3","5","5","4","4","3","3","1"
