rt,response,trial_type,trial_index,time_elapsed,internal_node_id,correct,stimulus,slider_start,accuracy,participant_id,ctime
16263,"{""Q0"":""Patricia""}",survey-text,0,16285,0.0-0.0-0.0,TRUE,NA,NA,NA,76848828-bf26-4e59-a008-d720c09e3c32,2024-07-19 16:26:27 CEST
2330,0,html-button-response,1,18618,0.0-0.0-3.0-0.0,NA,<p style='text-align:left'><b> Correct response! You are a human :) </b><br><br></p>,NA,NA,76848828-bf26-4e59-a008-d720c09e3c32,2024-07-19 16:26:27 CEST
10613,0,html-button-response,2,29233,0.0-1.0,NA,"<h3>Instructions</h3>  <p style='text-align:left'>In this experiment, you will read nine conversations between two speakers, as in this example, where Candy makes a statement and Lenny rejects it.</p>  <p style='text-align:left'> <b>Candy</b>: <i>Jens doesn't like hiking. </i> <br> <b>Lenny</b>: <i> No, he likes hiking. </i> </p>  <p style='text-align:left'>We ask you to rate the naturalness of the rejection. You will give your response on a slider marked 'totally natural' at one end and 'totally unnatural' at the other.</p>  <p style='text-align:left'>This experiment will take around 2 minutes, and you will be paid 40 cents.</p>  <p style='text-align:left' font size=""1"">By clicking on the button below, you agree to participate in this experiment, which is conducted by researchers at the University of Stuttgart. You may withdraw from this experiment at any time. The data collected will be anonymous and confidential. If you have any questions, you may contact the requester through Prolific's platform, or directly at st180735@stud.uni-stuttgart.de.</p>",NA,NA,76848828-bf26-4e59-a008-d720c09e3c32,2024-07-19 16:26:27 CEST
11262,43,html-slider-response,3,40497,0.0-2.0-0.0,NA,"<b>Isabel:</b><em> Tony is right that Lucy broke the plate.</em><br> <b>Leo:</b><em>  No, she didn't break the plate.</em> <br> <br> How natural is Leo's rejection of Isabel's utterance?",50,NA,76848828-bf26-4e59-a008-d720c09e3c32,2024-07-19 16:26:27 CEST
5565,67,html-slider-response,4,46066,0.0-2.0-0.1,NA,"<b>Mary:</b><em> Arthur took a French course.</em><br> <b>Lily:</b><em> No, he took a Spanish course.</em> <br> <br> How natural is Lily's rejection of Mary's utterance?",50,NA,76848828-bf26-4e59-a008-d720c09e3c32,2024-07-19 16:26:27 CEST
6561,64,html-slider-response,5,52630,0.0-2.0-0.2,NA,"<b>Vincent:</b><em> Patricia knows that Dustin lost his key.</em><br> <b>Clare:</b><em>  No, he didn't lose his key.</em> <br> <br> How natural is Clare's rejection of Vincent's utterance?",50,NA,76848828-bf26-4e59-a008-d720c09e3c32,2024-07-19 16:26:27 CEST
5931,55,html-slider-response,6,58563,0.0-2.0-0.3,NA,"<b>William:</b><em> Sophia confirmed that Jack saw the murder.</em><br> <b>Alice:</b><em>  No, he didn't see the murder.</em> <br> <br> How natural is Alice's rejection of William's utterance?",50,NA,76848828-bf26-4e59-a008-d720c09e3c32,2024-07-19 16:26:27 CEST
5997,34,html-slider-response,7,64563,0.0-2.0-0.4,NA,"<b>Oliver:</b><em> Linda confessed that Danny ate the last cupcake.</em><br> <b>Chloe:</b><em>  No, he didn't eat the last cupcake.</em> <br> <br> How natural is Chloe's rejection of Oliver's utterance?",50,NA,76848828-bf26-4e59-a008-d720c09e3c32,2024-07-19 16:26:27 CEST
5332,69,html-slider-response,8,69898,0.0-2.0-0.5,NA,"<b>Nora:</b><em> David discovered that Ann stole the money.</em><br> <b>Steven:</b><em>  No, she didn't steal the money.</em> <br> <br> How natural is Steven's rejection of Nora's utterance?",50,NA,76848828-bf26-4e59-a008-d720c09e3c32,2024-07-19 16:26:27 CEST
3539,61,html-slider-response,9,73440,0.0-2.0-0.6,NA,"<b>Ken:</b><em> The neighbor envies Greg, who bought a new car.</em><br> <b>Charlotte:</b><em>  No, he didn't buy a new car.</em> <br> <br> How natural is Charlotte's rejection of Ken's utterance?",50,NA,76848828-bf26-4e59-a008-d720c09e3c32,2024-07-19 16:26:27 CEST
4925,35,html-slider-response,10,78368,0.0-2.0-0.7,NA,"<b>Robert:</b><em> Betsy has a cat.</em><br> <b>Maximilian:</b><em> No, she doesn't like apples.</em> <br> <br> How natural is Maximilian's rejection of Robert's utterance?",50,NA,76848828-bf26-4e59-a008-d720c09e3c32,2024-07-19 16:26:27 CEST
