rt,response,trial_type,trial_index,time_elapsed,internal_node_id,correct,stimulus,slider_start,accuracy,participant_id,ctime
10575,"{""Q0"":""Jessica""}",survey-text,0,10600,0.0-0.0-0.0,TRUE,NA,NA,NA,59d8cd61-b31a-426c-932e-381ddeb8ceb8,2024-06-24 12:52:41 CEST
2050,0,html-button-response,1,12653,0.0-0.0-3.0-0.0,NA,<p style='text-align:left'><b> Correct response! You are a human :) </b><br><br></p>,NA,NA,59d8cd61-b31a-426c-932e-381ddeb8ceb8,2024-06-24 12:52:41 CEST
34763,0,html-button-response,2,47418,0.0-1.0,NA,"<h3>Instructions</h3>  <p style='text-align:left'>In this experiment, you will read nine questions asked by a speaker, as in this example, where Candy asks a question.</p>  <p style='text-align:left'> <b>Candy</b>: <i>Did Cassandra suggest that the house is big? </i> </p>  <p style='text-align:left'> We then ask you to judge what the speaker is asking about, for example: </p>  <p style='text-align:left'> Is Candy asking whether the house is big? </p>  <p style='text-align:left'>You give your response on a slider marked 'no' at one end and 'yes' at the other.</p>  <p style='text-align:left'>This experiment will take around 2 minutes, and you will be paid 40 cents.</p>  <p style='text-align:left' font size=""1"">By clicking on the button below, you agree to participate in this experiment, which is conducted by researchers at the University of Stuttgart. You may withdraw from this experiment at any time. The data collected will be anonymous and confidential. If you have any questions, you may contact the requester through Prolific's platform, or directly at st180735@stud.uni-stuttgart.de.</p>",NA,NA,59d8cd61-b31a-426c-932e-381ddeb8ceb8,2024-06-24 12:52:41 CEST
26120,27,html-slider-response,3,73542,0.0-2.0-0.0,NA,<b>Bob:</b><em>  Did Tony confess that Lucy broke the plate?</em> <br> <br> Is Bob asking whether Lucy broke the plate?,50,NA,59d8cd61-b31a-426c-932e-381ddeb8ceb8,2024-06-24 12:52:41 CEST
10571,25,html-slider-response,4,84115,0.0-2.0-0.1,NA,<b>Steven:</b><em>  Did Linda confirm that Danny ate the last cupcake?</em> <br> <br> Is Steven asking whether Danny ate the last cupcake?,50,NA,59d8cd61-b31a-426c-932e-381ddeb8ceb8,2024-06-24 12:52:41 CEST
6491,0,html-slider-response,5,90610,0.0-2.0-0.2,NA,<b>Robert:</b><em> Does Betsy have a cat?</em> <br> <br> Is Robert asking whether Betsy loves apples?,50,NA,59d8cd61-b31a-426c-932e-381ddeb8ceb8,2024-06-24 12:52:41 CEST
6454,100,html-slider-response,6,97065,0.0-2.0-0.3,NA,<b>Mary:</b><em> Did Arthur take a French course?</em> <br> <br> Is Mary asking whether Arthur took a French course?,50,NA,59d8cd61-b31a-426c-932e-381ddeb8ceb8,2024-06-24 12:52:41 CEST
10288,0,html-slider-response,7,107355,0.0-2.0-0.4,NA,"<b>Vincent:</b><em> Does the neighbor envy Greg, who bought a new car?</em> <br> <br> Is Vincent asking whether Greg bought a new car?",50,NA,59d8cd61-b31a-426c-932e-381ddeb8ceb8,2024-06-24 12:52:41 CEST
8594,94,html-slider-response,8,115950,0.0-2.0-0.5,NA,<b>Dawn:</b><em>  Is Patricia right that Dustin lost his key?</em> <br> <br> Is Dawn asking whether Dustin lost his key?,50,NA,59d8cd61-b31a-426c-932e-381ddeb8ceb8,2024-06-24 12:52:41 CEST
8222,4,html-slider-response,9,124175,0.0-2.0-0.6,NA,<b>William:</b><em>  Does Emma know that Raul cheated on his wife?</em> <br> <br> Is William asking whether Raul cheated on his wife?,50,NA,59d8cd61-b31a-426c-932e-381ddeb8ceb8,2024-06-24 12:52:41 CEST
7574,0,html-slider-response,10,131750,0.0-2.0-0.7,NA,"<b>Frank:</b><em> Did Jack, who saw the murder, run away?</em> <br> <br> Is Frank asking whether Jack saw the murder?",50,NA,59d8cd61-b31a-426c-932e-381ddeb8ceb8,2024-06-24 12:52:41 CEST
8844,2,html-slider-response,11,140596,0.0-2.0-0.8,NA,<b>Charlotte:</b><em>  Did David discover that Ann stole the money?</em> <br> <br> Is Charlotte asking whether Ann stole the money?,50,NA,59d8cd61-b31a-426c-932e-381ddeb8ceb8,2024-06-24 12:52:41 CEST
15862,"{""P0_Q0"":null,""age"":""24"",""gender"":""female"",""language"":""yes"",""amE"":""yes"",""comments"":""""}",survey,12,156499,0.0-3.0,NA,NA,NA,[],59d8cd61-b31a-426c-932e-381ddeb8ceb8,2024-06-24 12:52:41 CEST
9973,"{""Q0"":""Sarah""}",survey-text,0,9990,0.0-0.0-0.0,TRUE,NA,NA,NA,1c43d93b-e1d9-4be0-9b5f-0a2553a04367,2024-06-24 12:59:06 CEST
1750,0,html-button-response,1,11741,0.0-0.0-3.0-0.0,NA,<p style='text-align:left'><b> Correct response! You are a human :) </b><br><br></p>,NA,NA,1c43d93b-e1d9-4be0-9b5f-0a2553a04367,2024-06-24 12:59:06 CEST
5724,0,html-button-response,2,17466,0.0-1.0,NA,"<h3>Instructions</h3>  <p style='text-align:left'>In this experiment, you will read nine questions asked by a speaker, as in this example, where Candy asks a question.</p>  <p style='text-align:left'> <b>Candy</b>: <i>Did Cassandra suggest that the house is big? </i> </p>  <p style='text-align:left'> We then ask you to judge what the speaker is asking about, for example: </p>  <p style='text-align:left'> Is Candy asking whether the house is big? </p>  <p style='text-align:left'>You give your response on a slider marked 'no' at one end and 'yes' at the other.</p>  <p style='text-align:left'>This experiment will take around 2 minutes, and you will be paid 40 cents.</p>  <p style='text-align:left' font size=""1"">By clicking on the button below, you agree to participate in this experiment, which is conducted by researchers at the University of Stuttgart. You may withdraw from this experiment at any time. The data collected will be anonymous and confidential. If you have any questions, you may contact the requester through Prolific's platform, or directly at st180735@stud.uni-stuttgart.de.</p>",NA,NA,1c43d93b-e1d9-4be0-9b5f-0a2553a04367,2024-06-24 12:59:06 CEST
