response	trial_index	participantID	age	gender	language	amE	comments	target	predicate	cc	ai
0.81	1	4	43	male	English	AmE	"""":""""""""}	target	say	Jackson ran 10 miles	mc
0.82	2	4	43	male	English	AmE	"""":""""""""}	target	discover	Sophia got a tattoo	mc
0.1	3	4	43	male	English	AmE	"""":""""""""}	target	confess	Emma studied on Saturday morning	cc
0.75	4	4	43	male	English	AmE	"""":""""""""}	target	know	Mia drank two cocktails last night	mc
0.69	5	4	43	male	English	AmE	"""":""""""""}	goodControl1	control	control	control
0.23	6	4	43	male	English	AmE	"""":""""""""}	target	be right	Tony had a drink last night	cc
0.8	7	4	43	male	English	AmE	"""":""""""""}	target	think	Danny ate the last cupcake	cc
0	8	4	43	male	English	AmE	"""":""""""""}	badControl2	control	control	control
0.8	9	4	43	male	English	AmE	"""":""""""""}	goodControl2	control	control	control
0	10	4	43	male	English	AmE	"""":""""""""}	badControl1	control	control	control
0.1	1	3	31	female	English	AmE	"""":""""""""}	badControl1	control	control	control
0.95	2	3	31	female	English	AmE	"""":""""""""}	goodControl1	control	control	control
0.99	3	3	31	female	English	AmE	"""":""""""""}	target	think	Mia drank two cocktails last night	cc
0.96	4	3	31	female	English	AmE	"""":""""""""}	goodControl2	control	control	control
0.03	5	3	31	female	English	AmE	"""":""""""""}	target	be right	Jackson ran 10 miles	mc
0.96	6	3	31	female	English	AmE	"""":""""""""}	target	say	Tony had a drink last night	mc
0.83	7	3	31	female	English	AmE	"""":""""""""}	target	know	Sophia got a tattoo	cc
0	8	3	31	female	English	AmE	"""":""""""""}	badControl2	control	control	control
1	9	3	31	female	English	AmE	"""":""""""""}	target	discover	Danny ate the last cupcake	mc
0.65	10	3	31	female	English	AmE	"""":""""""""}	target	confess	Emma studied on Saturday morning	cc
0.36	1	2	38	female	English	AmE	"""":""""""""}	goodControl2	control	control	control
0.44	2	2	38	female	English	AmE	"""":""""""""}	goodControl1	control	control	control
0.02	3	2	38	female	English	AmE	"""":""""""""}	badControl1	control	control	control
1	4	2	38	female	English	AmE	"""":""""""""}	target	say	Sophia got a tattoo	cc
1	5	2	38	female	English	AmE	"""":""""""""}	target	confess	Danny ate the last cupcake	cc
0.28	6	2	38	female	English	AmE	"""":""""""""}	target	think	Emma studied on Saturday morning	mc
0.95	7	2	38	female	English	AmE	"""":""""""""}	target	know	Tony had a drink last night	mc
0.4	8	2	38	female	English	AmE	"""":""""""""}	target	be right	Mia drank two cocktails last night	cc
0.04	9	2	38	female	English	AmE	"""":""""""""}	badControl2	control	control	control
0.86	10	2	38	female	English	AmE	"""":""""""""}	target	discover	Jackson ran 10 miles	mc
0.14	1	1	37	male	English	AmE	"""":""""""""}	target	be right	Tony had a drink last night	mc
0.55	2	1	37	male	English	AmE	"""":""""""""}	target	confess	Emma studied on Saturday morning	cc
1	3	1	37	male	English	AmE	"""":""""""""}	target	discover	Mia drank two cocktails last night	mc
0	4	1	37	male	English	AmE	"""":""""""""}	badControl1	control	control	control
0.91	5	1	37	male	English	AmE	"""":""""""""}	target	know	Danny ate the last cupcake	cc
1	6	1	37	male	English	AmE	"""":""""""""}	target	say	Sophia got a tattoo	mc
0.6	7	1	37	male	English	AmE	"""":""""""""}	goodControl2	control	control	control
0.6	8	1	37	male	English	AmE	"""":""""""""}	target	think	Jackson ran 10 miles	cc
0.07	9	1	37	male	English	AmE	"""":""""""""}	badControl2	control	control	control
0.97	10	1	37	male	English	AmE	"""":""""""""}	goodControl1	control	control	control
