contrast,.value,.lower,.upper,.width,.point,.interval,first,second
acknowledge - admit,0.2944107219439067,0.11806795835088799,0.46561142081897744,0.95,mean,hdi,acknowledge, admit
acknowledge - announce,0.48310657666658413,0.30276127833494104,0.6578395800271958,0.95,mean,hdi,acknowledge, announce
acknowledge - be_annoyed,-0.842775149473594,-1.0432825757280362,-0.6465372488357981,0.95,mean,hdi,acknowledge, be_annoyed
acknowledge - confess,0.4526605289778905,0.27983590005260894,0.630221399545926,0.95,mean,hdi,acknowledge, confess
acknowledge - confirm,0.9297274332090757,0.7487581443089469,1.1117493612692133,0.95,mean,hdi,acknowledge, confirm
acknowledge - demonstrate,0.23460743262639697,0.06476470063057972,0.40208959159767493,0.95,mean,hdi,acknowledge, demonstrate
acknowledge - discover,-0.09552930009582761,-0.258649256199617,0.08162318082923667,0.95,mean,hdi,acknowledge, discover
acknowledge - establish,0.6927835790429074,0.5108227697982111,0.8562979959412784,0.95,mean,hdi,acknowledge, establish
acknowledge - hear,-0.11386256248072696,-0.2881678024788857,0.07369748648777041,0.95,mean,hdi,acknowledge, hear
acknowledge - inform,-0.32932822097489534,-0.5182169811614935,-0.14271038467930752,0.95,mean,hdi,acknowledge, inform
acknowledge - know,-0.3526311545946956,-0.5369337960807945,-0.18003345553078642,0.95,mean,hdi,acknowledge, know
acknowledge - pretend,-0.40069493598040457,-0.5842125575697079,-0.22248595990894726,0.95,mean,hdi,acknowledge, pretend
acknowledge - prove,0.5210842875523679,0.34731517221985514,0.6976465022802826,0.95,mean,hdi,acknowledge, prove
acknowledge - reveal,0.5791538220492858,0.4042208742495837,0.7463907104680771,0.95,mean,hdi,acknowledge, reveal
acknowledge - say,1.0368123658432118,0.8616372455066302,1.2244522088127725,0.95,mean,hdi,acknowledge, say
acknowledge - see,-0.293231263207555,-0.478699781562114,-0.12339238460482051,0.95,mean,hdi,acknowledge, see
acknowledge - suggest,0.4859895230312147,0.3095428291514568,0.6687360080763184,0.95,mean,hdi,acknowledge, suggest
acknowledge - think,-0.09805906699522474,-0.28066975514160986,0.07700272236142605,0.95,mean,hdi,acknowledge, think
admit - announce,0.18869585472267741,0.021265922315627666,0.3692095022996595,0.95,mean,hdi,admit, announce
admit - be_annoyed,-1.1371858714175007,-1.344556452504674,-0.9450177551478719,0.95,mean,hdi,admit, be_annoyed
admit - confess,0.1582498070339838,-0.016818338989403592,0.3282126807570025,0.95,mean,hdi,admit, confess
admit - confirm,0.635316711265169,0.45455008216892606,0.8200037091161475,0.95,mean,hdi,admit, confirm
admit - demonstrate,-0.059803289317509695,-0.23126522097294228,0.10712745501909665,0.95,mean,hdi,admit, demonstrate
admit - discover,-0.3899400220397343,-0.5640189298330166,-0.2141460642693192,0.95,mean,hdi,admit, discover
admit - establish,0.3983728570990007,0.2163515012742614,0.5587292680839205,0.95,mean,hdi,admit, establish
admit - hear,-0.4082732844246336,-0.5984305970720145,-0.23078761263275702,0.95,mean,hdi,admit, hear
admit - inform,-0.623738942918802,-0.8171600003063287,-0.4413648725459816,0.95,mean,hdi,admit, inform
admit - know,-0.6470418765386022,-0.8301493669406976,-0.46846287057844027,0.95,mean,hdi,admit, know
admit - pretend,-0.6951056579243112,-0.8811780517476782,-0.5180371671796299,0.95,mean,hdi,admit, pretend
admit - prove,0.22667356560846114,0.04273336114174593,0.39755365564318185,0.95,mean,hdi,admit, prove
admit - reveal,0.2847431001053792,0.11085952605453171,0.4513109047279507,0.95,mean,hdi,admit, reveal
admit - say,0.7424016438993051,0.5577039700779117,0.9198911167597502,0.95,mean,hdi,admit, say
admit - see,-0.5876419851514617,-0.7676821646804094,-0.4072419510073843,0.95,mean,hdi,admit, see
admit - suggest,0.19157880108730801,0.0214109908007103,0.3750671902082363,0.95,mean,hdi,admit, suggest
admit - think,-0.39246978893913154,-0.565757540100623,-0.21076219211684238,0.95,mean,hdi,admit, think
announce - be_annoyed,-1.325881726140178,-1.532982962913816,-1.1208236272102035,0.95,mean,hdi,announce, be_annoyed
announce - confess,-0.03044604768869363,-0.20878079064005858,0.1487543775783521,0.95,mean,hdi,announce, confess
announce - confirm,0.44662085654249156,0.2650658966886616,0.6322450893949844,0.95,mean,hdi,announce, confirm
announce - demonstrate,-0.24849914404018716,-0.42017422282331995,-0.07046399364550958,0.95,mean,hdi,announce, demonstrate
announce - discover,-0.5786358767624118,-0.7556023757989798,-0.4017900610791183,0.95,mean,hdi,announce, discover
announce - establish,0.20967700237632328,0.03692199699522508,0.388671906495011,0.95,mean,hdi,announce, establish
announce - hear,-0.596969139147311,-0.7845270412056042,-0.41190939063495996,0.95,mean,hdi,announce, hear
announce - inform,-0.8124347976414795,-1.003570174483014,-0.6166902756997868,0.95,mean,hdi,announce, inform
announce - know,-0.8357377312612797,-1.0172459477131657,-0.6478994964961703,0.95,mean,hdi,announce, know
announce - pretend,-0.8838015126469887,-1.0697971637968087,-0.6974909104768361,0.95,mean,hdi,announce, pretend
announce - prove,0.03797771088578374,-0.14194026465484244,0.22815565054209486,0.95,mean,hdi,announce, prove
announce - reveal,0.09604724538270165,-0.06940155556413126,0.27724868909520256,0.95,mean,hdi,announce, reveal
announce - say,0.5537057891766276,0.36979790007831415,0.7400846447840768,0.95,mean,hdi,announce, say
